c1_index,c2_index,c3_index,c4_index,c5_index,c6_index,c7_index,c8_index,avg_time
404,309,381,430,353,290,397,360,619.0324242993811
644,492,607,683,563,462,633,574,982.7241369680123
1019,782,961,1082,894,731,1004,908,1551.0589844428177
1649,1268,1557,1750,1450,1185,1628,1472,2498.647003873193
2055,1581,1938,2179,1809,1478,2031,1835,3100.518832329166
2461,1895,2323,2607,2167,1771,2435,2202,3698.899706530021
2721,2095,2568,2880,2397,1959,2692,2435,4077.387731164985
3051,2352,2881,3229,2691,2200,3021,2734,4559.397315435897
3223,2487,3044,3410,2843,2325,3193,2888,4807.443553523248
3584,2769,3386,3790,3164,2587,3553,3214,5329.119821465065
3918,3031,3703,4140,3462,2830,3886,3514,5808.531288865372
4181,3236,3949,4416,3694,3019,4146,3750,6181.023784707941
4850,3758,4582,5119,4292,3504,4812,4352,7131.678216500048
5283,4097,4992,5574,4679,3818,5243,4743,7743.186189564032
5919,4597,5593,6244,5250,4281,5876,5316,8638.671091008568
6207,4822,5866,6545,5509,4491,6162,5575,9041.5534738001
6700,5207,6328,7059,5948,4849,6649,6016,9727.30713256127
7056,5485,6664,7432,6268,5110,7001,6338,10224.251656267501
7461,5805,7045,7855,6630,5405,7402,6701,10788.785208689093
7836,6099,7399,8247,6966,5677,7774,7037,11310.19150968123
8095,6305,7643,8519,7198,5866,8033,7271,11670.90293627305
8603,6700,8120,9051,7651,6234,8534,7726,12372.487900706852
9015,7025,8509,9482,8022,6535,8944,8098,12945.418406300523
9519,7420,8982,10009,8474,6902,9443,8549,13641.625854826736
9830,7662,9272,10332,8752,7127,9749,8827,14067.868965054164
10282,8015,9698,10803,9157,7454,10194,9232,14688.521901762346
10483,8172,9887,11013,9338,7601,10393,9412,14964.946569077947
10933,8525,10311,11482,9742,7927,10839,9815,15582.995754347721
11395,8888,10746,11965,10158,8263,11298,10230,16216.63064676532
11633,9076,10973,12216,10373,8437,11535,10445,16544.257441358335
11936,9315,11260,12534,10645,8658,11836,10718,16959.13753360721
12143,9478,11456,12749,10831,8809,12039,10904,17241.65024582122
12437,9708,11734,13057,11097,9024,12330,11167,17643.48777259649
12828,10016,12103,13465,11448,9307,12717,11518,18177.724405325556
13210,10316,12464,13868,11793,9585,13096,11863,18701.943713283254
13535,10572,12773,14210,12085,9823,13418,12156,19147.8122344608
13951,10900,13167,14645,12460,10125,13833,12531,19717.053749240004
14326,11195,13519,15034,12796,10398,14204,12867,20227.430884937334
14650,11450,13827,15372,13088,10634,14525,13160,20669.750136730247
14920,11663,14082,15656,13332,10832,14793,13402,21037.83891120697
15356,12008,14494,16113,13724,11149,15225,13795,21630.931509934904
15654,12243,14775,16424,13993,11367,15520,14063,22035.619756821616
16036,12544,15137,16822,14335,11645,15896,14408,22554.1321647398
16417,12845,15497,17222,14679,11923,16274,14753,23071.303840872948
16782,13132,15841,17602,15007,12190,16635,15082,23564.93462955876
17240,13493,16274,18082,15421,12524,17089,15494,24185.076627704722
17692,13847,16698,18551,15827,12853,17533,15901,24794.655992082262
18193,14241,17172,19074,16278,13219,18029,16352,25472.9827229129
18786,14709,17735,19695,16817,13655,18616,16885,26276.14765104158
19012,14887,17949,19931,17022,13820,18840,17088,26580.826798376904
19440,15223,18353,20376,17409,14135,19262,17471,27158.12538583028
19735,15456,18632,20685,17676,14350,19554,17738,27554.943450453167
20345,15937,19212,21325,18230,14800,20160,18289,28382.44598858025
20855,16337,19693,21857,18689,15171,20662,18747,29070.311687467794
21329,16712,20141,22354,19118,15519,21131,19172,29713.275384797715
21927,17184,20705,22980,19657,15956,21722,19709,30524.154418601815
22250,17438,21010,23318,19949,16192,22043,19998,30961.050581214877
22560,17683,21304,23643,20229,16419,22349,20277,31380.954299742225
22905,17956,21631,24005,20543,16671,22691,20589,31850.103678941654
23310,18278,22015,24431,20909,16967,23092,20954,32400.40150926364
23791,18657,22469,24932,21343,17319,23566,21387,33050.97765548639
24246,19015,22898,25405,21752,17652,24016,21797,33664.06343929157
24675,19354,23302,25853,22140,17965,24440,22183,34243.05982132218
24910,19540,23526,26100,22353,18139,24674,22395,34560.985809740145
25416,19941,24003,26630,22809,18510,25174,22851,35244.01258230893
25803,20247,24370,27035,23159,18795,25556,23200,35766.37561793128
26206,20564,24751,27455,23523,19089,25952,23563,36307.26869782925
26711,20961,25228,27982,23979,19458,26452,24019,36984.781210007204
27043,21222,25539,28329,24278,19700,26778,24317,37427.44116157935
27278,21409,25762,28576,24493,19873,27011,24530,37742.77936477665
27660,21710,26127,28974,24839,20152,27390,24875,38254.49882066826
28037,22010,26486,29369,25181,20430,27765,25217,38759.04719559809
28473,22354,26898,29823,25576,20747,28197,25609,39338.990710598504
28806,22617,27212,30171,25878,20991,28525,25908,39781.45767924054
29074,22829,27465,30449,26119,21187,28788,26149,40136.322904769826
29352,23050,27729,30741,26372,21392,29065,26400,40505.86295412491
29717,23340,28076,31123,26704,21661,29427,26728,40991.440076386105
29989,23555,28335,31409,26952,21862,29698,26974,41353.088718587125
30548,23999,28868,31995,27462,22276,30255,27480,42095.66718799513
30900,24277,29204,32364,27781,22535,30605,27797,42561.286316076454
31475,24730,29749,32965,28303,22957,31174,28316,43320.412706582705
31886,25056,30137,33395,28678,23259,31583,28688,43864.41936346823
32171,25283,30408,33694,28937,23469,31867,28947,44241.75467656717
32661,25670,30870,34206,29380,23829,32351,29390,44886.57961940524
32964,25909,31158,34524,29655,24051,32651,29663,45285.16088791526
33295,26171,31471,34870,29954,24292,32979,29960,45720.718116762044
33734,26521,31890,35333,30354,24615,33415,30359,46303.88535709043
34251,26930,32380,35875,30821,24992,33926,30825,46985.50260474929
34512,27137,32628,36148,31058,25183,34184,31060,47329.51230312287
35071,27581,33158,36733,31565,25594,34739,31566,48068.57449945071
35716,28092,33770,37409,32147,26065,35377,32146,48920.48695811037
36027,28340,34066,37735,32429,26294,35684,32427,49330.51288574106
36786,28942,34788,38531,33118,26852,36439,33115,50334.78760162741
37029,29135,35019,38785,33338,27031,36679,33335,50653.1644650643
37622,29606,35584,39402,33876,27467,37267,33871,51432.87071629385
37903,29828,35849,39694,34131,27673,37545,34125,51800.1713319815
38227,30085,36158,40031,34427,27911,37867,34419,52224.560718494555
38524,30322,36439,40340,34695,28127,38160,34686,52611.092666814686
38957,30666,36851,40792,35090,28446,38590,35079,53177.26679354784
