c1_index,c2_index,c3_index,c4_index,c5_index,c6_index,c7_index,c8_index,avg_time
1079,826,1003,1144,944,771,1045,961,1666.9933695745276
2329,1791,2172,2461,2044,1669,2277,2081,3532.179030689498
3851,2976,3602,4058,3391,2765,3785,3445,5725.0514018010435
5209,4033,4883,5482,4604,3744,5133,4664,7638.872138045073
6435,4993,6035,6768,5695,4627,6346,5760,9353.43491028894
7376,5726,6921,7755,6533,5306,7274,6603,10669.102559742983
8615,6695,8088,9054,7641,6203,8500,7711,12395.136700377174
9658,7514,9072,10151,8578,6959,9534,8650,13841.09360849281
10466,8145,9830,10994,9302,7542,10331,9374,14947.509277449411
11384,8863,10692,11953,10128,8209,11240,10198,16201.27308695855
12718,9906,11952,13351,11334,9184,12561,11396,18022.347402700398
13745,10711,12922,14430,12262,9936,13577,12319,19420.532385731407
14978,11680,14090,15725,13384,10839,14803,13431,21097.559207094615
16146,12599,15197,16950,14446,11695,15960,14482,22678.99044502899
16991,13263,15994,17834,15208,12310,16797,15245,23816.973623660655
18038,14088,16981,18930,16152,13070,17838,16188,25226.456484870738
19295,15077,18163,20242,17284,13984,19079,17318,26913.431912492946
20386,15938,19193,21385,18271,14782,20161,18302,28374.29120379864
21689,16966,20423,22743,19453,15735,21457,19481,30111.37577631163
23089,18076,21745,24200,20722,16757,22847,20747,31967.41840710865
24256,18996,22848,25416,21776,17610,24002,21801,33505.057927636546
25474,19955,23995,26684,22875,18499,25205,22898,35103.26534136951
27005,21167,25443,28281,24265,19618,26718,24279,37114.73635425474
28089,22026,26470,29412,25249,20411,27791,25255,38539.426606762354
29169,22881,27494,30541,26229,21201,28864,26234,39959.75680569859
30271,23753,28536,31689,27230,22010,29956,27228,41405.49955374027
31707,24888,29896,33186,28533,23060,31377,28526,43280.50210245268
33075,25973,31193,34613,29777,24061,32731,29764,45065.49773698734
34004,26709,32075,35583,30621,24742,33653,30605,46282.06174450023
35613,27985,33600,37268,32077,25916,35244,32055,48410.82076528373
36820,28934,34742,38535,33165,26796,36435,33143,50027.666971785555
38057,29907,35914,39832,34277,27692,37654,34252,51697.93170064285
38971,30625,36781,40793,35099,28358,38559,35076,52939.396190522326
39990,31428,37744,41863,36014,29097,39564,35991,54321.646521371236
41239,32413,38929,43177,37139,30006,40802,37117,56017.79891799652
42852,33677,40455,44871,38585,31178,42398,38567,58221.98125599844
43822,34434,41372,45888,39453,31881,43354,39437,59562.34387223315
45436,35692,42894,47585,40889,33048,44948,40878,61823.66809765293
46418,36462,43826,48621,41761,33763,45921,41757,63228.52516562292
47692,37451,45036,49957,42888,34689,47186,42899,65104.74720925314
48478,38057,45784,50783,43580,35259,47965,43605,66295.19074544171
49313,38695,46577,51662,44306,35862,48792,44351,67577.58663730556
50431,39546,47643,52851,45282,36665,49894,45353,69329.00644975356
51636,40459,48783,54147,46319,37527,51075,46427,71243.62679967395
52712,41271,49801,55307,47243,38295,52131,47384,72964.97990487644
54110,42324,51124,56811,48444,39287,53498,48626,75205.40077442772
55332,43239,52273,58120,49489,40150,54681,49706,77160.46391220402
56864,44396,53705,59762,50808,41234,56165,51063,79612.04686490745
57672,45006,54460,60627,51507,41808,56949,51778,80900.67729056676
58781,45845,55500,61815,52468,42593,58030,52756,82661.07136276188
