time,ADC0,ADC2,ADC12,CPU_trigger,time/threshold
0.013701027142815292,4095,274,33,0,404
1.825065250042826,4095,206,27,0,284
3.6202064055250958,4095,187,26,0,232
5.428871244424954,4095,180,25,0,208
7.152529520099051,4095,194,26,0,240
8.835769222234376,3557,145,22,0,50
10.679853709065355,4095,202,26,0,274
12.349820153787732,4095,280,32,0,420
14.161639251746237,3567,145,22,0,90
15.905690417741425,4095,304,34,0,464
17.730799067765474,4095,241,29,0,358
19.588439728831872,4095,186,26,0,236
21.41876378923189,4095,178,25,0,208
23.163741155178286,4095,170,24,0,156
24.92231623851694,3561,145,22,0,44
26.71131156082265,4095,265,31,0,400
28.413745916332118,4095,217,27,0,324
30.206174882943742,3880,158,23,0,122
31.997251504915766,3865,158,23,0,138
33.83923770766705,3698,151,23,0,136
35.56778449798003,4018,164,24,0,174
37.388428354868665,4095,189,26,0,234
39.21146391250659,4064,166,24,0,170
41.220611227094196,4095,267,32,0,408
42.97046367847361,4095,251,30,0,376
44.72328155487776,4095,331,37,0,516
46.379422638216056,4095,315,35,0,474
48.09013612149283,4095,192,26,0,260
49.899109921534546,4095,296,34,0,456
51.56492767704185,4095,558,55,0,720
53.346630231593736,4095,439,45,0,644
55.087513886159286,4095,253,30,0,390
56.873486454831436,4095,182,25,0,224
58.52428304380737,4095,178,25,0,216
60.15452774683945,4095,170,24,0,202
61.833377587841824,4095,203,26,0,284
63.48300479934551,3790,155,23,0,138
65.36423407983966,3908,160,24,0,158
67.08301058260258,4095,168,24,0,186
68.90524247218855,4095,210,27,0,290
70.68006374163087,4095,169,25,0,176
72.48717524588574,4095,171,24,0,190
74.16606385516934,4095,265,31,0,400
75.86167866631877,3818,156,23,0,122
77.54085822706111,4095,500,50,0,668
79.22508210211527,3636,149,23,0,124
81.025284865289,4095,744,71,0,864
82.80370349960867,4095,207,27,0,276
84.50144412356894,4061,166,24,0,190
86.39839830272831,4095,339,37,0,528
88.16373639379162,3356,136,22,0,64
90.05426852148958,4095,200,27,0,282
91.81032844411675,4095,405,43,0,612
93.51918242743704,3655,149,23,0,50
95.09531298850197,3948,162,24,0,170
96.82483520556707,4095,182,25,0,230
98.58698373124935,4095,197,26,0,262
100.37979620485567,4095,245,29,0,368
102.09324993437622,3504,143,22,0,50
103.83240794960875,4095,181,25,0,228
105.6411101045087,4095,221,28,0,314
107.25697535346262,4095,168,24,0,186
109.12259740137961,4095,277,32,0,420
110.93751263443846,4095,314,35,0,502
112.73065633815713,4095,211,27,0,298
114.53789130481891,4095,175,25,0,208
116.15872898546513,4095,231,29,0,348
117.93788774998393,4095,172,24,0,192
119.68620489409659,4095,246,30,0,378
121.5759253007127,3688,151,23,0,120
123.39776862843428,3753,153,23,0,144
125.19005740934517,4095,493,50,0,684
127.02009053260554,4095,504,51,0,694
128.629233421525,4095,265,32,0,408
130.34333377087023,4095,204,27,0,290
132.06130351079628,4095,229,29,0,336
133.8536419996526,3757,154,23,0,104
135.53978872462176,4095,257,31,0,396
137.30214514932595,3489,142,22,0,52
139.15920229861513,4095,439,45,0,620
140.89555926527828,4095,229,28,0,338
142.64402239513583,4095,227,28,0,334
144.43350706109777,3716,152,23,0,88
146.26835234998725,4095,271,32,0,414
147.86565203825012,4095,173,25,0,208
149.71380016044714,4095,172,25,0,192
151.47927867714316,4095,295,34,0,448
153.21639574377332,4095,189,26,0,244
154.94972164032515,3629,148,23,0,68
156.715030744439,4095,195,26,0,266
158.46868258400355,3619,148,23,0,52
160.25565269379877,4067,166,24,0,170
161.98558615520597,4095,390,42,0,572
163.70938535488676,4095,172,25,0,186
165.500608604867,4054,166,24,0,172
167.19791652157437,3932,161,24,0,170
168.86244511045516,4095,185,26,0,228
170.7652427777648,3679,150,23,0,138
172.4919067187002,4095,177,25,0,208
174.18629416113254,3625,149,23,0,50
175.94589542609174,4095,322,36,0,494
177.7645041437354,4095,231,28,0,352
179.47715880838223,4095,209,27,0,298
181.34138663264457,4095,224,28,0,320
183.0769825075986,4095,216,27,0,312
184.64915389032103,4095,178,25,0,206
186.43722977710422,3916,160,24,0,156
188.15120536112227,4095,823,77,0,912
190.09304222429637,3748,153,23,0,64
191.7675954659935,4095,574,56,0,730
193.53779189102352,4095,539,53,0,716
195.3989160086494,4095,212,27,0,302
197.30471172148827,4095,301,34,0,474
199.004150765948,3560,145,23,0,88
200.78752000490203,4095,175,25,0,212
202.57881832809653,4095,177,25,0,216
204.50569503370207,4095,222,28,0,330
206.15535872150213,3812,156,23,0,134
208.0168349124724,4095,400,42,0,592
209.88792627712246,4095,273,32,0,420
211.7414828632027,4095,181,25,0,226
213.53649140137713,4095,262,31,0,404
215.25822212779894,3911,160,23,0,160
217.18501803197432,3905,159,24,0,148
218.846587719745,4095,325,36,0,486
220.57356689404696,4095,386,41,0,572
222.36196866142564,4095,197,27,0,264
224.13531648821663,4095,331,37,0,512
225.8621642937651,4095,201,26,0,276
227.58173769968562,4095,286,33,0,432
229.33322870975826,3806,156,23,0,60
231.2274867160013,4095,238,29,0,354
233.0469365437748,4095,176,25,0,208
234.76967543258797,3567,146,22,0,100
236.36559857043903,3724,152,23,0,118
238.07863295206334,4095,259,30,0,386
239.83938932360616,4095,175,25,0,202
241.67167592362966,4095,1049,95,0,1024
243.51952854311094,3789,155,24,0,150
245.41719905484933,4095,220,28,0,320
247.10986246878747,3650,149,23,0,104
248.90080269100145,3898,159,24,0,160
250.69974305143114,3369,137,22,0,44
252.29147633130196,4095,179,25,0,190
254.00801331317052,4095,352,39,0,540
255.85619672085159,4095,270,32,0,408
257.6002938882448,4095,201,26,0,278
259.5260758822551,4095,315,35,0,476
261.16432685486507,4095,228,28,0,330
262.9973057367606,3915,160,24,0,158
264.77441391383763,3584,147,23,0,64
266.53007144411094,4072,166,24,0,186
268.31001854722854,4095,351,38,0,544
270.0294626868563,4095,209,27,0,302
271.78156271460466,3995,164,24,0,152
273.45964011596516,4095,188,26,0,236
275.2548493798822,4095,189,26,0,226
277.0494700104464,4009,164,24,0,170
278.6782285430236,3797,155,23,0,140
280.38266912149265,3518,143,22,0,64
